Declaring exchange
 [*] Waiting for logs. To exit press CTRL+C, sleep time [ms]:  100.0
 [x] Sent {"time": "2023-05-23T14:33:00.385+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.486+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.587+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.689+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.792+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.894+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:00.995+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.096+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.199+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.300+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.402+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.503+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.604+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.707+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.810+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:01.915+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.018+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.120+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.224+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.326+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.428+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.531+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.632+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.734+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.837+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:02.938+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.040+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.141+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.243+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.344+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.446+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.549+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.652+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.753+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.854+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:03.957+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.060+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.163+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.266+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.367+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.472+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.573+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.676+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.778+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.880+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:04.981+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.083+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.185+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.288+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.392+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.494+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.595+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.697+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.799+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:05.900+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.001+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.104+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.205+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.307+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.409+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.510+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.614+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.716+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.818+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:06.922+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.024+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.130+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.238+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.340+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.441+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.545+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.649+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.751+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.852+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:07.953+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.054+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.155+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.258+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.360+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.463+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.566+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.669+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.772+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.873+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:08.974+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.076+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.179+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.281+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.382+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.485+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.586+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.689+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.790+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.892+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:09.994+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.096+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.197+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.299+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.400+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.505+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.607+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.709+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.810+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:10.912+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.014+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.115+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.217+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.318+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.419+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.521+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.624+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.726+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.828+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:11.931+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.034+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.136+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.239+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.344+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.445+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.547+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.649+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.753+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.855+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:12.957+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.059+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.162+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.265+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.367+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.469+02:00", "waiting": false, "processing": true}
